Code,Center Name,Indent Date,No of Purchy,Qty in Qtls
1,GATE,14-11-2022,3,54
1,GATE,15-11-2022,805,23958
1,GATE,16-11-2022,882,37800
1,GATE,17-11-2022,822,38313
1,GATE,18-11-2022,833,38340
1,GATE,19-11-2022,831,44586
1,GATE,21-11-2022,22,711
1,GATE,22-11-2022,82,4437
1,GATE,23-11-2022,318,9846
1,GATE,24-11-2022,310,9792
1,GATE,25-11-2022,701,27369
1,GATE,26-11-2022,594,24264
1,GATE,27-11-2022,649,24822
1,GATE,28-11-2022,578,22437
1,GATE,29-11-2022,585,22095
1,GATE,30-11-2022,552,24426
1,GATE,01-12-2022,480,20349
1,GATE,02-12-2022,371,14724
1,GATE,03-12-2022,205,9351
1,GATE,04-12-2022,330,13509
1,GATE,05-12-2022,314,17748
1,GATE,06-12-2022,452,21546
1,GATE,07-12-2022,374,20889
1,GATE,08-12-2022,372,21717
1,GATE,09-12-2022,327,19692
1,GATE,10-12-2022,303,17028
1,GATE,11-12-2022,77,4077
1,GATE,12-12-2022,423,22437
1,GATE,13-12-2022,315,17190
1,GATE,14-12-2022,331,17901
1,GATE,15-12-2022,271,14751
1,GATE,16-12-2022,173,9594
1,GATE,17-12-2022,391,20574
1,GATE,18-12-2022,407,21051
1,GATE,19-12-2022,367,20862
1,GATE,20-12-2022,379,21231
1,GATE,21-12-2022,319,18324
1,GATE,22-12-2022,282,15057
1,GATE,23-12-2022,257,12294
1,GATE,24-12-2022,480,20376
1,GATE,25-12-2022,381,17361
1,GATE,26-12-2022,330,15849
1,GATE,27-12-2022,448,20394
1,GATE,28-12-2022,390,18999
1,GATE,29-12-2022,294,14643
1,GATE,30-12-2022,221,11520
1,GATE,31-12-2022,277,15471
1,GATE,01-01-2023,101,5229
1,GATE,02-01-2023,193,9495
1,GATE,03-01-2023,380,19314
1,GATE,04-01-2023,497,27585
1,GATE,05-01-2023,476,27270
1,GATE,06-01-2023,479,26631
1,GATE,07-01-2023,369,20124
1,GATE,08-01-2023,475,26649
1,GATE,09-01-2023,252,14139
1,GATE,10-01-2023,417,21789
1,GATE,11-01-2023,467,24156
1,GATE,12-01-2023,481,25335
1,GATE,13-01-2023,473,25326
1,GATE,14-01-2023,392,21024
1,GATE,15-01-2023,349,18486
1,GATE,16-01-2023,320,16659
1,GATE,17-01-2023,394,21861
1,GATE,18-01-2023,359,21087
1,GATE,19-01-2023,474,23112
1,GATE,20-01-2023,184,9423
1,GATE,21-01-2023,444,22779
1,GATE,22-01-2023,371,17262
1,GATE,23-01-2023,372,18612
1,GATE,24-01-2023,425,21213
1,GATE,25-01-2023,459,24048
1,GATE,26-01-2023,516,25848
1,GATE,27-01-2023,494,22311
1,GATE,28-01-2023,362,18063
1,GATE,29-01-2023,359,18765
1,GATE,30-01-2023,428,20430
7,BILAULI,13-11-2022,8,279
7,BILAULI,14-11-2022,10,234
7,BILAULI,15-11-2022,23,576
7,BILAULI,16-11-2022,9,351
7,BILAULI,17-11-2022,13,450
7,BILAULI,18-11-2022,9,189
7,BILAULI,20-11-2022,4,126
7,BILAULI,21-11-2022,10,288
7,BILAULI,22-11-2022,8,198
7,BILAULI,23-11-2022,11,333
7,BILAULI,24-11-2022,14,387
7,BILAULI,25-11-2022,21,513
7,BILAULI,26-11-2022,9,324
7,BILAULI,27-11-2022,14,441
7,BILAULI,28-11-2022,18,540
7,BILAULI,29-11-2022,12,378
7,BILAULI,30-11-2022,13,423
7,BILAULI,01-12-2022,15,351
7,BILAULI,02-12-2022,7,288
7,BILAULI,03-12-2022,11,441
7,BILAULI,04-12-2022,10,396
7,BILAULI,05-12-2022,12,540
7,BILAULI,06-12-2022,14,441
7,BILAULI,07-12-2022,16,450
7,BILAULI,08-12-2022,13,396
7,BILAULI,09-12-2022,12,540
7,BILAULI,10-12-2022,12,486
7,BILAULI,11-12-2022,10,423
7,BILAULI,12-12-2022,13,450
7,BILAULI,13-12-2022,13,450
7,BILAULI,14-12-2022,11,468
7,BILAULI,15-12-2022,21,540
7,BILAULI,16-12-2022,16,477
7,BILAULI,17-12-2022,15,540
7,BILAULI,18-12-2022,9,378
7,BILAULI,19-12-2022,18,540
7,BILAULI,20-12-2022,16,531
7,BILAULI,21-12-2022,17,522
7,BILAULI,22-12-2022,11,414
7,BILAULI,23-12-2022,9,405
7,BILAULI,24-12-2022,17,495
7,BILAULI,25-12-2022,16,531
7,BILAULI,26-12-2022,18,567
7,BILAULI,27-12-2022,17,549
7,BILAULI,28-12-2022,12,405
7,BILAULI,29-12-2022,13,450
7,BILAULI,30-12-2022,15,486
7,BILAULI,31-12-2022,18,459
7,BILAULI,01-01-2023,10,288
7,BILAULI,02-01-2023,6,189
7,BILAULI,03-01-2023,23,657
7,BILAULI,04-01-2023,12,459
7,BILAULI,05-01-2023,15,513
7,BILAULI,06-01-2023,15,513
7,BILAULI,07-01-2023,16,504
7,BILAULI,08-01-2023,12,486
7,BILAULI,09-01-2023,17,468
7,BILAULI,10-01-2023,16,504
7,BILAULI,11-01-2023,15,513
7,BILAULI,12-01-2023,13,531
7,BILAULI,13-01-2023,18,513
7,BILAULI,14-01-2023,18,621
7,BILAULI,15-01-2023,14,522
7,BILAULI,16-01-2023,9,378
7,BILAULI,17-01-2023,19,531
7,BILAULI,18-01-2023,11,414
7,BILAULI,19-01-2023,12,405
7,BILAULI,20-01-2023,14,414
7,BILAULI,21-01-2023,13,477
7,BILAULI,22-01-2023,13,477
7,BILAULI,23-01-2023,13,477
7,BILAULI,24-01-2023,16,477
7,BILAULI,25-01-2023,12,459
7,BILAULI,26-01-2023,17,495
7,BILAULI,27-01-2023,16,504
7,BILAULI,28-01-2023,15,459
7,BILAULI,29-01-2023,13,477
7,BILAULI,30-01-2023,18,513
8,CHAKLAKHIPUR - III N,13-11-2022,14,279
8,CHAKLAKHIPUR - III N,14-11-2022,19,342
8,CHAKLAKHIPUR - III N,15-11-2022,20,414
8,CHAKLAKHIPUR - III N,16-11-2022,16,450
8,CHAKLAKHIPUR - III N,17-11-2022,19,423
8,CHAKLAKHIPUR - III N,18-11-2022,12,297
8,CHAKLAKHIPUR - III N,19-11-2022,7,180
8,CHAKLAKHIPUR - III N,20-11-2022,10,207
8,CHAKLAKHIPUR - III N,21-11-2022,7,288
8,CHAKLAKHIPUR - III N,22-11-2022,13,261
8,CHAKLAKHIPUR - III N,23-11-2022,10,288
8,CHAKLAKHIPUR - III N,24-11-2022,32,738
8,CHAKLAKHIPUR - III N,25-11-2022,32,630
8,CHAKLAKHIPUR - III N,26-11-2022,20,684
8,CHAKLAKHIPUR - III N,27-11-2022,17,603
8,CHAKLAKHIPUR - III N,28-11-2022,28,720
8,CHAKLAKHIPUR - III N,29-11-2022,27,702
8,CHAKLAKHIPUR - III N,30-11-2022,24,648
8,CHAKLAKHIPUR - III N,01-12-2022,21,675
8,CHAKLAKHIPUR - III N,02-12-2022,20,711
8,CHAKLAKHIPUR - III N,03-12-2022,22,477
8,CHAKLAKHIPUR - III N,04-12-2022,17,522
8,CHAKLAKHIPUR - III N,05-12-2022,18,486
8,CHAKLAKHIPUR - III N,06-12-2022,18,513
8,CHAKLAKHIPUR - III N,07-12-2022,21,513
8,CHAKLAKHIPUR - III N,08-12-2022,22,585
8,CHAKLAKHIPUR - III N,09-12-2022,19,612
8,CHAKLAKHIPUR - III N,10-12-2022,18,540
8,CHAKLAKHIPUR - III N,11-12-2022,18,405
8,CHAKLAKHIPUR - III N,12-12-2022,21,540
8,CHAKLAKHIPUR - III N,13-12-2022,19,585
8,CHAKLAKHIPUR - III N,14-12-2022,20,522
8,CHAKLAKHIPUR - III N,15-12-2022,22,585
8,CHAKLAKHIPUR - III N,16-12-2022,23,603
8,CHAKLAKHIPUR - III N,17-12-2022,17,495
8,CHAKLAKHIPUR - III N,18-12-2022,15,459
8,CHAKLAKHIPUR - III N,19-12-2022,24,567
8,CHAKLAKHIPUR - III N,20-12-2022,21,513
8,CHAKLAKHIPUR - III N,21-12-2022,20,549
8,CHAKLAKHIPUR - III N,22-12-2022,15,513
8,CHAKLAKHIPUR - III N,23-12-2022,19,423
8,CHAKLAKHIPUR - III N,24-12-2022,21,513
8,CHAKLAKHIPUR - III N,25-12-2022,21,567
8,CHAKLAKHIPUR - III N,26-12-2022,17,387
8,CHAKLAKHIPUR - III N,27-12-2022,15,432
8,CHAKLAKHIPUR - III N,28-12-2022,12,351
8,CHAKLAKHIPUR - III N,29-12-2022,15,405
8,CHAKLAKHIPUR - III N,30-12-2022,13,396
8,CHAKLAKHIPUR - III N,31-12-2022,13,423
8,CHAKLAKHIPUR - III N,01-01-2023,12,297
8,CHAKLAKHIPUR - III N,02-01-2023,9,216
8,CHAKLAKHIPUR - III N,03-01-2023,15,432
8,CHAKLAKHIPUR - III N,04-01-2023,15,432
8,CHAKLAKHIPUR - III N,05-01-2023,22,639
8,CHAKLAKHIPUR - III N,06-01-2023,19,558
8,CHAKLAKHIPUR - III N,07-01-2023,19,504
8,CHAKLAKHIPUR - III N,08-01-2023,23,549
8,CHAKLAKHIPUR - III N,09-01-2023,21,540
8,CHAKLAKHIPUR - III N,10-01-2023,29,765
8,CHAKLAKHIPUR - III N,11-01-2023,22,612
8,CHAKLAKHIPUR - III N,12-01-2023,26,684
8,CHAKLAKHIPUR - III N,13-01-2023,23,576
8,CHAKLAKHIPUR - III N,14-01-2023,24,567
8,CHAKLAKHIPUR - III N,15-01-2023,21,621
8,CHAKLAKHIPUR - III N,16-01-2023,18,567
8,CHAKLAKHIPUR - III N,17-01-2023,22,558
8,CHAKLAKHIPUR - III N,18-01-2023,20,522
8,CHAKLAKHIPUR - III N,19-01-2023,21,513
8,CHAKLAKHIPUR - III N,20-01-2023,15,432
8,CHAKLAKHIPUR - III N,21-01-2023,20,495
8,CHAKLAKHIPUR - III N,22-01-2023,13,369
8,CHAKLAKHIPUR - III N,24-01-2023,16,396
8,CHAKLAKHIPUR - III N,25-01-2023,20,522
8,CHAKLAKHIPUR - III N,26-01-2023,14,387
8,CHAKLAKHIPUR - III N,27-01-2023,23,738
8,CHAKLAKHIPUR - III N,28-01-2023,21,594
8,CHAKLAKHIPUR - III N,29-01-2023,22,612
8,CHAKLAKHIPUR - III N,30-01-2023,18,486
9,TAPARPURWA,13-11-2022,14,522
9,TAPARPURWA,14-11-2022,17,468
9,TAPARPURWA,15-11-2022,13,504
9,TAPARPURWA,16-11-2022,13,477
9,TAPARPURWA,17-11-2022,17,630
9,TAPARPURWA,20-11-2022,5,171
9,TAPARPURWA,21-11-2022,11,306
9,TAPARPURWA,22-11-2022,6,243
9,TAPARPURWA,23-11-2022,8,360
9,TAPARPURWA,24-11-2022,22,774
9,TAPARPURWA,25-11-2022,22,909
9,TAPARPURWA,26-11-2022,24,891
9,TAPARPURWA,27-11-2022,25,909
9,TAPARPURWA,28-11-2022,17,684
9,TAPARPURWA,29-11-2022,17,657
9,TAPARPURWA,30-11-2022,19,720
9,TAPARPURWA,01-12-2022,22,774
9,TAPARPURWA,02-12-2022,20,819
9,TAPARPURWA,04-12-2022,11,414
9,TAPARPURWA,05-12-2022,13,504
9,TAPARPURWA,06-12-2022,12,513
9,TAPARPURWA,07-12-2022,13,531
9,TAPARPURWA,08-12-2022,15,459
9,TAPARPURWA,09-12-2022,15,540
9,TAPARPURWA,10-12-2022,12,540
9,TAPARPURWA,11-12-2022,14,414
9,TAPARPURWA,12-12-2022,17,603
9,TAPARPURWA,13-12-2022,3,135
9,TAPARPURWA,14-12-2022,13,477
9,TAPARPURWA,15-12-2022,7,288
9,TAPARPURWA,16-12-2022,11,468
9,TAPARPURWA,17-12-2022,13,504
9,TAPARPURWA,18-12-2022,16,531
9,TAPARPURWA,19-12-2022,16,612
9,TAPARPURWA,20-12-2022,12,540
9,TAPARPURWA,21-12-2022,13,504
9,TAPARPURWA,22-12-2022,15,459
9,TAPARPURWA,23-12-2022,11,468
9,TAPARPURWA,24-12-2022,18,675
9,TAPARPURWA,25-12-2022,16,531
9,TAPARPURWA,26-12-2022,15,567
9,TAPARPURWA,27-12-2022,16,585
9,TAPARPURWA,28-12-2022,16,558
9,TAPARPURWA,29-12-2022,16,585
9,TAPARPURWA,30-12-2022,14,549
9,TAPARPURWA,31-12-2022,15,540
9,TAPARPURWA,01-01-2023,7,315
9,TAPARPURWA,02-01-2023,3,135
9,TAPARPURWA,03-01-2023,16,612
9,TAPARPURWA,04-01-2023,16,639
9,TAPARPURWA,05-01-2023,11,414
9,TAPARPURWA,06-01-2023,14,522
9,TAPARPURWA,07-01-2023,17,576
9,TAPARPURWA,08-01-2023,13,558
9,TAPARPURWA,09-01-2023,7,207
9,TAPARPURWA,10-01-2023,13,477
9,TAPARPURWA,11-01-2023,12,486
9,TAPARPURWA,12-01-2023,13,504
9,TAPARPURWA,13-01-2023,17,576
9,TAPARPURWA,14-01-2023,16,612
9,TAPARPURWA,15-01-2023,15,540
9,TAPARPURWA,16-01-2023,13,558
9,TAPARPURWA,17-01-2023,16,666
9,TAPARPURWA,18-01-2023,11,360
9,TAPARPURWA,19-01-2023,13,477
9,TAPARPURWA,20-01-2023,11,414
9,TAPARPURWA,21-01-2023,15,540
9,TAPARPURWA,22-01-2023,10,423
9,TAPARPURWA,23-01-2023,12,459
9,TAPARPURWA,24-01-2023,10,315
9,TAPARPURWA,25-01-2023,10,396
9,TAPARPURWA,26-01-2023,14,603
9,TAPARPURWA,27-01-2023,10,423
9,TAPARPURWA,28-01-2023,11,333
9,TAPARPURWA,29-01-2023,14,522
9,TAPARPURWA,30-01-2023,13,423
11,AMETHI-I,13-11-2022,8,279
11,AMETHI-I,14-11-2022,17,414
11,AMETHI-I,15-11-2022,22,558
11,AMETHI-I,16-11-2022,13,504
11,AMETHI-I,17-11-2022,15,540
11,AMETHI-I,19-11-2022,7,153
11,AMETHI-I,20-11-2022,13,288
11,AMETHI-I,21-11-2022,14,306
11,AMETHI-I,22-11-2022,12,378
11,AMETHI-I,23-11-2022,15,378
11,AMETHI-I,24-11-2022,28,855
11,AMETHI-I,25-11-2022,17,522
11,AMETHI-I,26-11-2022,27,864
11,AMETHI-I,27-11-2022,15,513
11,AMETHI-I,28-11-2022,22,666
11,AMETHI-I,29-11-2022,23,657
11,AMETHI-I,30-11-2022,19,666
11,AMETHI-I,01-12-2022,20,657
11,AMETHI-I,02-12-2022,11,360
11,AMETHI-I,03-12-2022,8,306
11,AMETHI-I,04-12-2022,21,675
11,AMETHI-I,05-12-2022,19,639
11,AMETHI-I,06-12-2022,18,513
11,AMETHI-I,07-12-2022,14,468
11,AMETHI-I,08-12-2022,10,315
11,AMETHI-I,09-12-2022,17,522
11,AMETHI-I,10-12-2022,24,729
11,AMETHI-I,11-12-2022,16,504
11,AMETHI-I,12-12-2022,20,603
11,AMETHI-I,13-12-2022,15,513
11,AMETHI-I,14-12-2022,14,495
11,AMETHI-I,15-12-2022,9,243
11,AMETHI-I,16-12-2022,13,504
11,AMETHI-I,17-12-2022,13,477
11,AMETHI-I,18-12-2022,20,522
11,AMETHI-I,19-12-2022,24,702
11,AMETHI-I,20-12-2022,13,504
11,AMETHI-I,21-12-2022,16,504
11,AMETHI-I,22-12-2022,16,504
11,AMETHI-I,23-12-2022,18,459
11,AMETHI-I,24-12-2022,18,513
11,AMETHI-I,25-12-2022,17,549
11,AMETHI-I,26-12-2022,17,522
11,AMETHI-I,27-12-2022,8,225
11,AMETHI-I,28-12-2022,21,513
11,AMETHI-I,29-12-2022,12,513
11,AMETHI-I,30-12-2022,15,432
11,AMETHI-I,31-12-2022,13,396
11,AMETHI-I,01-01-2023,8,306
11,AMETHI-I,02-01-2023,6,216
11,AMETHI-I,03-01-2023,27,675
11,AMETHI-I,04-01-2023,15,486
11,AMETHI-I,05-01-2023,13,423
11,AMETHI-I,06-01-2023,15,486
11,AMETHI-I,07-01-2023,20,630
11,AMETHI-I,08-01-2023,19,558
11,AMETHI-I,09-01-2023,22,612
11,AMETHI-I,10-01-2023,17,603
11,AMETHI-I,11-01-2023,20,603
11,AMETHI-I,12-01-2023,16,585
11,AMETHI-I,13-01-2023,18,567
11,AMETHI-I,14-01-2023,19,585
11,AMETHI-I,15-01-2023,12,297
11,AMETHI-I,16-01-2023,18,567
11,AMETHI-I,17-01-2023,22,639
11,AMETHI-I,18-01-2023,9,297
11,AMETHI-I,19-01-2023,10,369
11,AMETHI-I,20-01-2023,12,432
11,AMETHI-I,21-01-2023,20,549
11,AMETHI-I,22-01-2023,13,396
11,AMETHI-I,23-01-2023,16,396
11,AMETHI-I,24-01-2023,17,603
11,AMETHI-I,25-01-2023,19,612
11,AMETHI-I,26-01-2023,19,612
11,AMETHI-I,27-01-2023,17,603
11,AMETHI-I,28-01-2023,18,486
11,AMETHI-I,29-01-2023,14,468
11,AMETHI-I,30-01-2023,9,378
12,BASANTAPUR/DHAURAHRA,13-11-2022,22,558
12,BASANTAPUR/DHAURAHRA,14-11-2022,28,774
12,BASANTAPUR/DHAURAHRA,15-11-2022,30,702
12,BASANTAPUR/DHAURAHRA,16-11-2022,31,747
12,BASANTAPUR/DHAURAHRA,17-11-2022,21,567
12,BASANTAPUR/DHAURAHRA,19-11-2022,12,513
12,BASANTAPUR/DHAURAHRA,20-11-2022,15,378
12,BASANTAPUR/DHAURAHRA,21-11-2022,19,558
12,BASANTAPUR/DHAURAHRA,22-11-2022,25,720
12,BASANTAPUR/DHAURAHRA,23-11-2022,36,1161
12,BASANTAPUR/DHAURAHRA,25-11-2022,50,1440
12,BASANTAPUR/DHAURAHRA,26-11-2022,47,1251
12,BASANTAPUR/DHAURAHRA,27-11-2022,44,1467
12,BASANTAPUR/DHAURAHRA,28-11-2022,37,1395
12,BASANTAPUR/DHAURAHRA,29-11-2022,48,1377
12,BASANTAPUR/DHAURAHRA,30-11-2022,38,1386
12,BASANTAPUR/DHAURAHRA,03-12-2022,13,315
12,BASANTAPUR/DHAURAHRA,05-12-2022,4,180
12,BASANTAPUR/DHAURAHRA,07-12-2022,1,18
12,BASANTAPUR/DHAURAHRA,08-12-2022,10,396
12,BASANTAPUR/DHAURAHRA,09-12-2022,17,522
12,BASANTAPUR/DHAURAHRA,10-12-2022,18,486
12,BASANTAPUR/DHAURAHRA,11-12-2022,13,288
12,BASANTAPUR/DHAURAHRA,12-12-2022,22,693
12,BASANTAPUR/DHAURAHRA,13-12-2022,14,414
12,BASANTAPUR/DHAURAHRA,14-12-2022,29,1035
12,BASANTAPUR/DHAURAHRA,15-12-2022,25,801
12,BASANTAPUR/DHAURAHRA,16-12-2022,15,621
12,BASANTAPUR/DHAURAHRA,17-12-2022,26,873
12,BASANTAPUR/DHAURAHRA,18-12-2022,29,873
12,BASANTAPUR/DHAURAHRA,19-12-2022,32,1089
12,BASANTAPUR/DHAURAHRA,20-12-2022,33,1188
12,BASANTAPUR/DHAURAHRA,21-12-2022,36,1215
12,BASANTAPUR/DHAURAHRA,22-12-2022,27,1026
12,BASANTAPUR/DHAURAHRA,23-12-2022,30,945
12,BASANTAPUR/DHAURAHRA,24-12-2022,31,1017
12,BASANTAPUR/DHAURAHRA,25-12-2022,48,1431
12,BASANTAPUR/DHAURAHRA,26-12-2022,29,1008
12,BASANTAPUR/DHAURAHRA,27-12-2022,29,1089
12,BASANTAPUR/DHAURAHRA,28-12-2022,40,1260
12,BASANTAPUR/DHAURAHRA,29-12-2022,37,1098
12,BASANTAPUR/DHAURAHRA,30-12-2022,31,1098
12,BASANTAPUR/DHAURAHRA,31-12-2022,27,918
12,BASANTAPUR/DHAURAHRA,01-01-2023,24,810
12,BASANTAPUR/DHAURAHRA,02-01-2023,13,450
12,BASANTAPUR/DHAURAHRA,03-01-2023,39,1269
12,BASANTAPUR/DHAURAHRA,04-01-2023,41,1332
12,BASANTAPUR/DHAURAHRA,05-01-2023,35,1116
12,BASANTAPUR/DHAURAHRA,06-01-2023,34,1098
12,BASANTAPUR/DHAURAHRA,07-01-2023,37,1071
12,BASANTAPUR/DHAURAHRA,08-01-2023,31,1071
12,BASANTAPUR/DHAURAHRA,09-01-2023,35,1170
12,BASANTAPUR/DHAURAHRA,10-01-2023,36,999
12,BASANTAPUR/DHAURAHRA,11-01-2023,30,999
12,BASANTAPUR/DHAURAHRA,12-01-2023,39,1215
12,BASANTAPUR/DHAURAHRA,13-01-2023,45,1269
12,BASANTAPUR/DHAURAHRA,14-01-2023,46,1287
12,BASANTAPUR/DHAURAHRA,15-01-2023,31,1152
12,BASANTAPUR/DHAURAHRA,16-01-2023,35,1062
12,BASANTAPUR/DHAURAHRA,17-01-2023,64,1665
12,BASANTAPUR/DHAURAHRA,18-01-2023,30,972
12,BASANTAPUR/DHAURAHRA,19-01-2023,54,1539
12,BASANTAPUR/DHAURAHRA,20-01-2023,25,774
12,BASANTAPUR/DHAURAHRA,21-01-2023,45,1674
12,BASANTAPUR/DHAURAHRA,22-01-2023,32,900
12,BASANTAPUR/DHAURAHRA,23-01-2023,27,918
12,BASANTAPUR/DHAURAHRA,24-01-2023,42,1485
12,BASANTAPUR/DHAURAHRA,25-01-2023,47,1359
12,BASANTAPUR/DHAURAHRA,26-01-2023,27,783
12,BASANTAPUR/DHAURAHRA,27-01-2023,22,801
12,BASANTAPUR/DHAURAHRA,28-01-2023,15,513
12,BASANTAPUR/DHAURAHRA,29-01-2023,23,819
12,BASANTAPUR/DHAURAHRA,30-01-2023,33,999
13,SISAIYA -I,13-11-2022,15,351
13,SISAIYA -I,14-11-2022,17,441
13,SISAIYA -I,15-11-2022,20,495
13,SISAIYA -I,16-11-2022,13,477
13,SISAIYA -I,17-11-2022,16,450
13,SISAIYA -I,20-11-2022,8,225
13,SISAIYA -I,21-11-2022,4,153
13,SISAIYA -I,22-11-2022,11,387
13,SISAIYA -I,23-11-2022,16,477
13,SISAIYA -I,24-11-2022,24,864
13,SISAIYA -I,25-11-2022,14,549
13,SISAIYA -I,26-11-2022,23,873
13,SISAIYA -I,27-11-2022,19,612
13,SISAIYA -I,28-11-2022,20,819
13,SISAIYA -I,29-11-2022,16,693
13,SISAIYA -I,30-11-2022,19,801
13,SISAIYA -I,01-12-2022,17,630
13,SISAIYA -I,02-12-2022,18,594
13,SISAIYA -I,04-12-2022,18,729
13,SISAIYA -I,05-12-2022,17,657
13,SISAIYA -I,06-12-2022,20,684
13,SISAIYA -I,07-12-2022,16,720
13,SISAIYA -I,08-12-2022,15,621
13,SISAIYA -I,09-12-2022,17,711
13,SISAIYA -I,10-12-2022,20,711
13,SISAIYA -I,11-12-2022,14,495
13,SISAIYA -I,12-12-2022,24,675
13,SISAIYA -I,13-12-2022,20,711
13,SISAIYA -I,14-12-2022,17,738
13,SISAIYA -I,15-12-2022,11,495
13,SISAIYA -I,16-12-2022,12,540
13,SISAIYA -I,17-12-2022,16,558
13,SISAIYA -I,18-12-2022,14,495
13,SISAIYA -I,19-12-2022,25,828
13,SISAIYA -I,20-12-2022,19,747
13,SISAIYA -I,21-12-2022,22,774
13,SISAIYA -I,22-12-2022,17,657
13,SISAIYA -I,23-12-2022,17,684
13,SISAIYA -I,24-12-2022,18,648
13,SISAIYA -I,25-12-2022,16,558
13,SISAIYA -I,26-12-2022,16,477
13,SISAIYA -I,27-12-2022,17,549
13,SISAIYA -I,28-12-2022,20,603
13,SISAIYA -I,29-12-2022,17,549
13,SISAIYA -I,30-12-2022,13,531
13,SISAIYA -I,31-12-2022,18,486
13,SISAIYA -I,01-01-2023,7,207
13,SISAIYA -I,02-01-2023,5,198
13,SISAIYA -I,03-01-2023,19,639
13,SISAIYA -I,04-01-2023,17,549
13,SISAIYA -I,05-01-2023,18,729
13,SISAIYA -I,06-01-2023,22,720
13,SISAIYA -I,07-01-2023,16,612
13,SISAIYA -I,08-01-2023,27,783
13,SISAIYA -I,09-01-2023,19,585
13,SISAIYA -I,10-01-2023,19,720
13,SISAIYA -I,11-01-2023,26,900
13,SISAIYA -I,12-01-2023,25,747
13,SISAIYA -I,13-01-2023,18,702
13,SISAIYA -I,14-01-2023,25,882
13,SISAIYA -I,15-01-2023,14,576
13,SISAIYA -I,16-01-2023,14,495
13,SISAIYA -I,17-01-2023,24,783
13,SISAIYA -I,18-01-2023,20,630
13,SISAIYA -I,19-01-2023,19,720
13,SISAIYA -I,20-01-2023,15,486
13,SISAIYA -I,21-01-2023,23,711
13,SISAIYA -I,22-01-2023,13,504
13,SISAIYA -I,23-01-2023,13,450
13,SISAIYA -I,24-01-2023,8,333
13,SISAIYA -I,25-01-2023,12,432
13,SISAIYA -I,26-01-2023,9,405
13,SISAIYA -I,27-01-2023,23,846
13,SISAIYA -I,28-01-2023,27,999
13,SISAIYA -I,29-01-2023,30,1026
13,SISAIYA -I,30-01-2023,27,999
14,BEHNANPURWA,13-11-2022,9,324
14,BEHNANPURWA,14-11-2022,10,396
14,BEHNANPURWA,15-11-2022,13,423
14,BEHNANPURWA,16-11-2022,7,261
14,BEHNANPURWA,17-11-2022,10,396
14,BEHNANPURWA,20-11-2022,4,180
14,BEHNANPURWA,21-11-2022,7,207
14,BEHNANPURWA,22-11-2022,7,288
14,BEHNANPURWA,23-11-2022,6,216
14,BEHNANPURWA,24-11-2022,32,1062
14,BEHNANPURWA,25-11-2022,19,747
14,BEHNANPURWA,26-11-2022,20,765
14,BEHNANPURWA,27-11-2022,17,765
14,BEHNANPURWA,28-11-2022,20,738
14,BEHNANPURWA,29-11-2022,16,585
14,BEHNANPURWA,30-11-2022,21,837
14,BEHNANPURWA,01-12-2022,20,819
14,BEHNANPURWA,02-12-2022,8,360
14,BEHNANPURWA,04-12-2022,11,360
14,BEHNANPURWA,05-12-2022,7,261
14,BEHNANPURWA,06-12-2022,11,441
14,BEHNANPURWA,07-12-2022,14,522
14,BEHNANPURWA,08-12-2022,15,540
14,BEHNANPURWA,09-12-2022,15,621
14,BEHNANPURWA,10-12-2022,13,531
14,BEHNANPURWA,11-12-2022,11,468
14,BEHNANPURWA,12-12-2022,17,684
14,BEHNANPURWA,13-12-2022,17,684
14,BEHNANPURWA,14-12-2022,18,702
14,BEHNANPURWA,15-12-2022,5,198
14,BEHNANPURWA,16-12-2022,17,630
14,BEHNANPURWA,17-12-2022,14,549
14,BEHNANPURWA,18-12-2022,11,414
14,BEHNANPURWA,19-12-2022,16,531
14,BEHNANPURWA,20-12-2022,16,612
14,BEHNANPURWA,21-12-2022,13,504
14,BEHNANPURWA,22-12-2022,13,504
14,BEHNANPURWA,23-12-2022,12,459
14,BEHNANPURWA,24-12-2022,18,675
14,BEHNANPURWA,25-12-2022,15,540
14,BEHNANPURWA,26-12-2022,14,576
14,BEHNANPURWA,27-12-2022,17,603
14,BEHNANPURWA,28-12-2022,16,585
14,BEHNANPURWA,29-12-2022,16,612
14,BEHNANPURWA,30-12-2022,16,639
14,BEHNANPURWA,31-12-2022,13,504
14,BEHNANPURWA,01-01-2023,10,396
14,BEHNANPURWA,02-01-2023,7,234
14,BEHNANPURWA,03-01-2023,24,972
14,BEHNANPURWA,04-01-2023,21,837
14,BEHNANPURWA,05-01-2023,16,585
14,BEHNANPURWA,06-01-2023,16,639
14,BEHNANPURWA,07-01-2023,16,585
14,BEHNANPURWA,08-01-2023,15,567
14,BEHNANPURWA,09-01-2023,16,585
14,BEHNANPURWA,10-01-2023,14,603
14,BEHNANPURWA,11-01-2023,16,639
14,BEHNANPURWA,12-01-2023,16,639
14,BEHNANPURWA,13-01-2023,16,639
14,BEHNANPURWA,14-01-2023,10,315
14,BEHNANPURWA,15-01-2023,12,486
14,BEHNANPURWA,16-01-2023,17,603
14,BEHNANPURWA,17-01-2023,16,639
14,BEHNANPURWA,18-01-2023,17,603
14,BEHNANPURWA,19-01-2023,16,639
14,BEHNANPURWA,20-01-2023,12,486
14,BEHNANPURWA,21-01-2023,14,630
